global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr,trap_name
0,0,0,"[4, 5, 6, 7, 8, 9]",909.7855625152588,266.92759895324707,1115136.886782013,801608.8329195468,ACL 2.01
1,0,1,"[4, 5]",4640.732191085815,2896.9415225982666,628289.1544620728,628289.1544620728,LCM 100
2,0,2,"[6, 7]",6538.577091217041,2851.662815093994,896686.5217603614,531252.4406896663,LCM 101
3,0,3,"[8, 9]",10226.026685714722,4082.579786300659,1136414.8323485714,626069.1960525217,LCM 102
4,0,4,"[10, 11, 12, 13, 14, 15]",525.3910484313965,339.8074645996094,3054487.061525317,2619295.3540289854,ACL 2.02
5,0,5,"[10, 11]",13742.753456115724,6969.277969360352,3096290.0870393435,1538998.1137988348,LCM 103
6,0,6,"[12, 13]",22620.14735507965,14812.87877368927,4222399.657985804,3020724.4655981325,LCM 104
7,0,7,"[14, 15]",17281.513829231262,9501.29752445221,4104738.825560832,2642860.58866699,LCM 105
8,0,8,"[20, 21, 22, 23, 24, 25]",2652.747749328613,451.2756576538086,1637615.0267326357,1120484.2561284634,ACL 2.03
9,0,9,"[20, 21]",8121.005371093751,2168.920829772949,1099638.244389969,546088.5154996704,LCM 106
10,0,10,"[22, 23]",6096.722803115845,3362.4116764068604,890479.0031336467,890479.0031336467,LCM 107
11,0,11,"[24, 25]",7754.988550186157,4865.148302078247,1057424.7575763986,844359.4534090798,LCM 108
12,0,12,"[26, 27, 28, 29, 30, 31]",3323.1766662597656,1547.5807571411133,5005096.05607546,3106742.799765869,ACL 2.04
13,0,13,"[26, 27]",9616.046087265016,7753.959878921509,1913479.591660635,1574715.264827606,LCM 109
14,0,14,"[28, 29]",8679.579847335815,8333.330244064331,1579606.6057036235,1579606.6057036235,LCM 110
15,0,15,"[30, 31]",8719.008182525635,7714.497640609741,1240283.6614373492,1240283.6614373492,LCM 111
40,1,0,"[52, 53, 54, 55, 56, 57]",970.0269737243652,775.003532409668,1246969.1251986038,1115999.1277861088,ACL 2.05
41,1,1,"[52, 53]",1406.2832584381104,1245.0098361968994,391965.1086009087,391965.1086009087,LCM 112
42,1,2,"[54, 55]",2317.165358543396,2067.3864030838013,406280.42535814585,406280.42535814585,LCM 113
43,1,3,"[56, 57]",2302.2436351776123,1931.6371994018557,430656.8775332911,430656.8775332911,LCM 114
44,1,4,"[58, 59, 60, 61, 62, 63]",2453.8374071121216,1246.211093902588,2115817.4203300374,1697718.4713734312,ACL 2.06
45,1,5,"[58, 59]",12604.894939422607,5556.274200439453,1709861.107422046,995661.6466412646,LCM 115
46,1,6,"[60, 61]",14489.787382125854,3325.910804748535,3175070.224953526,1268061.2971062942,LCM 116
47,1,7,"[62, 63]",15099.386619567871,7897.108394622803,2248837.591136148,2102172.7897998253,LCM 117
48,1,8,"[36, 37, 38, 39, 40, 41]",1961.543161392212,729.3085689544678,3194250.176640698,1296231.1280223944,ACL 2.07
49,1,9,"[36, 37]",8168.362754821777,5766.473617553711,1092421.8488142823,900586.8927704234,LCM 118
50,1,10,"[38, 39]",5027.926139831543,3551.7707538604736,1173385.3329782097,935212.8997189184,LCM 119
51,1,11,"[40, 41]",3926.477638244629,3240.309513092041,971771.925861304,971771.925861304,LCM 120
52,1,12,"[42, 43, 44, 45, 46, 47]",2276.4812002182007,1160.1405324935913,2952495.733772964,2177592.5030193445,ACL 2.08
53,1,13,"[42, 43]",2799.2217903137207,2420.486867904663,1064899.327087807,1064899.327087807,LCM 121
54,1,14,"[44, 45]",5497.275213241577,3419.0588035583496,1813031.218885023,1327641.3325522968,LCM 122
55,1,15,"[46, 47]",8379.492639541626,5771.115032196045,1823498.855560679,1663641.297055713,LCM 123
80,2,0,"[4, 5, 6, 7, 8, 9]",88201.80813503265,70703.9918832779,32876541.59810782,26134805.100505937,ACL 2.09
81,2,1,"[20, 21]",78670.4995470047,60407.374106407166,15537552.908916714,12001059.826533992,LCM 124
82,2,2,"[22, 23]",69082.20188713074,60235.05329704285,15114120.121665422,13386257.577093432,LCM 125
83,2,3,"[24, 25]",75379.09321498871,66405.36277389526,15605598.729834016,13750826.209333569,LCM 126
84,2,4,"[10, 11, 12, 13, 14, 15]",106399.09534358978,76671.18708324432,47149817.81064382,33991677.5168781,ACL 2.10
85,2,5,"[26, 27]",64937.95212459564,58254.77874851227,12554632.592477247,11268061.51815686,LCM 127
86,2,6,"[28, 29]",45296.19817733765,40683.06568527222,9869254.013541466,9016203.261445643,LCM 128
87,2,7,"[30, 31]",33770.40882015228,31304.503964424133,6769179.670086487,6265359.663854494,LCM 129
88,2,8,"[20, 21, 22, 23, 24, 25]",63071.4185295105,47876.4038105011,30456099.03279204,23862370.255433097,ACL 2.11
89,2,9,"[4, 5]",63062.47925376892,60266.9605884552,11880746.235339625,11741264.886477103,LCM 130
90,2,10,"[6, 7]",61444.9146566391,55536.85780906677,12103010.50678263,11185988.904792896,LCM 131
91,2,11,"[8, 9]",54482.87327194214,49555.72467803955,12128507.475708297,11141452.87110463,LCM 132
92,2,12,"[26, 27, 28, 29, 30, 31]",80400.84163284302,61874.62316703797,40044467.02720018,31447478.900499493,ACL 2.12
93,2,13,"[10, 11]",33426.58878612518,26029.80065441132,12185784.451854594,9669875.529670645,LCM 133
94,2,14,"[12, 13]",51736.42331123352,39613.63891220093,10162690.134123532,7836532.172386276,LCM 134
95,2,15,"[14, 15]",39855.243580818176,36538.7292509079,6859502.460127517,6267872.748364666,LCM 135
120,3,0,"[52, 53, 54, 55, 56, 57]",36546.83387041092,26431.06850862503,25338870.99089385,20046739.365817346,ACL 2.13
121,3,1,"[52, 53]",49414.00351238251,41000.60796642304,11833627.336802814,10165439.015437594,LCM 136
122,3,2,"[54, 55]",54986.504322052,44881.95423793793,12213319.143588703,10442206.338730955,LCM 137
123,3,3,"[56, 57]",57928.38161849976,42332.09035682678,12916357.410451816,9615751.170099918,LCM 138
124,3,4,"[58, 59, 60, 61, 62, 63]",74091.6788816452,44615.99434566498,33664656.373683594,21999133.416029003,ACL 2.14
125,3,5,"[58, 59]",39626.759165763855,28437.865929603577,8826645.00999077,6571209.915649477,LCM 139
126,3,6,"[60, 61]",14666.414520263672,12532.178285598757,6268122.941996729,5824052.753287181,LCM 140
127,3,7,"[62, 63]",23134.82507610321,19164.196550369263,4701134.783925085,4120655.47002785,LCM 141
128,3,8,"[36, 37, 38, 39, 40, 41]",40136.31647586823,32211.541710853577,20126609.66269712,17722527.08817792,ACL 2.15
129,3,9,"[36, 37]",40022.70013046265,35411.216718673706,7300022.5846965,7300022.5846965,LCM 142
130,3,10,"[38, 39]",35804.06573390961,32573.57751178741,7273153.972304492,7273153.972304492,LCM 143
131,3,11,"[40, 41]",34794.223905563354,32212.9741230011,7205283.422199755,7205283.422199755,LCM 144
132,3,12,"[42, 43, 44, 45, 46, 47]",48727.43684577942,38473.08570957184,23777187.1019001,19630054.692745574,ACL 2.16
133,3,13,"[42, 43]",40343.768907547,31481.2022190094,7968488.240596846,6439995.457304595,LCM 145
134,3,14,"[44, 45]",36047.75095462799,30489.54470348358,6540567.732738174,5740181.8042274,LCM 146
135,3,15,"[46, 47]",23487.828260421757,21176.57947158813,5190763.667170715,4615285.615558576,LCM 147
160,4,0,"[42, 43, 44, 45, 46, 47]",40422.86004066467,30829.761972427368,20323656.65096777,16309221.91418004,ACL 2.17
161,4,1,"[42, 43]",54070.89986133576,48647.492356300354,7534803.06039555,6782195.876618739,LCM 148
162,4,2,"[44, 45]",58369.25201511383,45837.82765293121,7702455.869154617,6054658.18180982,LCM 149
163,4,3,"[46, 47]",60097.13763618469,53588.77403831482,7013195.093747882,6388583.301393419,LCM 150
164,4,4,"[36, 37, 38, 39, 40, 41]",48369.4692697525,31834.370327949524,25290254.687258977,17045025.26669301,ACL 2.18
165,4,5,"[52, 53]",69965.61200141907,51892.8344745636,9825817.713246249,7412754.555564717,LCM 151
166,4,6,"[54, 55]",72457.25949382782,62565.73032665253,8718147.096537966,7564193.111969818,LCM 152
167,4,7,"[56, 57]",54922.7118730545,48554.01472949982,6297758.67198398,5656290.092282551,LCM 153
168,4,8,"[58, 59, 60, 61, 62, 63]",49470.49714946747,36181.65491008759,26786081.532318,20160007.10849421,ACL 2.19
169,4,9,"[58, 59]",88699.11649608612,62948.62362766266,11589532.78609912,8295803.093717257,LCM 154
170,4,10,"[60, 61]",92224.69595527647,72937.86179161072,11480201.427462626,9200949.67603075,LCM 155
171,4,11,"[62, 63]",94581.880235672,76566.5665435791,11095820.998177,9058678.813608244,LCM 156
172,4,12,"[52, 53, 54, 55, 56, 57]",70615.08770179749,43560.90200996399,35279099.00773211,21956663.035820592,ACL 2.20
173,4,13,"[36, 37]",71596.98285102844,60890.65234184265,9752922.655221377,8323240.046195321,LCM 157
174,4,14,"[38, 39]",69376.68088817596,57102.97681713104,8633244.925017247,7068003.074640761,LCM 158
175,4,15,"[40, 41]",50769.88395690918,35705.44392967224,6534370.110713877,4629856.35942386,LCM 159
200,5,0,"[26, 27, 28, 29, 30, 31]",37579.885338783264,34053.9290471077,15072982.353068914,14067437.54616872,ACL 2.21
201,5,1,"[26, 27]",57379.96051979065,42982.16274833679,8790927.155176869,6599689.8061121935,LCM 160
202,5,2,"[28, 29]",71201.46415519714,59423.359172821045,9211540.227064354,7789544.733124272,LCM 161
203,5,3,"[30, 31]",63006.224064826965,49496.683634758,9411987.14594556,7127739.467878491,LCM 162
204,5,4,"[20, 21, 22, 23, 24, 25]",62391.07766532898,39309.14113044739,26550461.74325833,17416513.290765822,ACL 2.22
205,5,5,"[20, 21]",44631.01244163513,39240.681848526,7006404.255238281,6496818.937908469,LCM 163
206,5,6,"[22, 23]",54962.92894744873,48071.71524810791,6188400.393148367,5599626.988952592,LCM 164
207,5,7,"[24, 25]",45840.74481201172,36111.21963119507,5380265.1554668285,4420565.905681845,LCM 165
208,5,8,"[10, 11, 12, 13, 14, 15]",65918.13731479645,50662.79395198822,27004598.43711906,21623467.53858711,ACL 2.23
209,5,9,"[10, 11]",78424.00817489624,61601.49989318848,11897843.254706413,9475033.67020012,LCM 166
210,5,10,"[12, 13]",93289.29695129396,76712.66212463379,11586706.39290577,9740669.042608893,LCM 167
211,5,11,"[14, 15]",93197.06431865692,82543.38580608368,11487219.239671182,10077943.966976464,LCM 168
212,5,12,"[4, 5, 6, 7, 8, 9]",64190.28685092926,47712.9330034256,33762411.65547521,25934474.317744017,ACL 2.24
213,5,13,"[4, 5]",71470.52049732208,71259.72465991974,8649585.931217603,8649585.931217603,LCM 169
214,5,14,"[6, 7]",56676.88186073303,52291.27469062805,7013004.360135979,6426748.966774517,LCM 170
215,5,15,"[8, 9]",45373.61145114899,40751.77190685272,5150077.988066462,4615062.351205078,LCM 171
240,6,0,"[4, 5, 6, 7, 8, 9]",84294.53753089905,57493.709491729736,49693614.47019675,35750627.30147513,ACL 2.25
241,6,1,"[4, 5]",90084.934091568,73816.48122787476,20559558.69100231,17360907.90355429,LCM 172
242,6,2,"[6, 7]",196024.17456817627,162391.23119926453,20954355.33805929,17448266.784683302,LCM 173
243,6,3,"[8, 9]",225287.93317699432,174891.49914836884,22831703.019982,18077009.447523177,LCM 174
244,6,4,"[10, 11, 12, 13, 14, 15]",135912.30389785767,90631.72806930542,72392241.40423284,49968846.84516312,ACL 2.26
245,6,5,"[10, 11]",174831.2343235016,134824.36050319672,22224645.24618357,17447413.75831009,LCM 175
246,6,6,"[12, 13]",158454.97589111328,109327.17371368408,18366315.502150085,12728172.133115962,LCM 176
247,6,7,"[14, 15]",38603.69488430023,29748.62240219116,12126655.630055783,9971307.758943176,LCM 177
248,6,8,"[20, 21, 22, 23, 24, 25]",17702.36761379242,14105.15098285675,35222930.7374666,28531468.14343007,ACL 2.27
249,6,9,"[20, 21]",109676.5562953949,101092.52869224548,12115742.258848296,11292269.465125317,LCM 178
250,6,10,"[22, 23]",93970.17802715302,86875.5730714798,11925252.196558412,11263241.126233969,LCM 179
251,6,11,"[24, 25]",114437.53090953828,105897.26307582857,12035178.795602247,11165247.010820463,LCM 180
252,6,12,"[26, 27, 28, 29, 30, 31]",70434.24646759033,55967.97721672058,37546655.90683593,30135367.934060182,ACL 2.28
253,6,13,"[26, 27]",81767.50306463242,75798.96977567673,10644305.75000636,9942360.30967347,LCM 181
254,6,14,"[28, 29]",95652.58440971376,92707.01444149016,9534232.502255335,9360960.88927007,LCM 182
255,6,15,"[30, 31]",63452.08801078797,55199.31602191925,8329890.007479277,7480890.905876537,LCM 183
280,7,0,"[52, 53, 54, 55, 56, 57]",260919.61984729767,220148.6775407791,88781742.63935186,76033886.40758543,ACL 2.29
281,7,1,"[52, 53]",284804.6789188385,253454.77875328064,39208784.48554292,35020936.88403612,LCM 184
282,7,2,"[54, 55]",396395.2568502426,344998.9014425278,42577287.855169296,37516865.4301857,LCM 185
283,7,3,"[56, 57]",464067.5800189972,367035.7073459625,47510398.49861636,38047827.83128679,LCM 186
284,7,4,"[58, 59, 60, 61, 62, 63]",284085.9660215378,206830.26431179047,137507721.74643603,101778935.29419546,ACL 2.30
285,7,5,"[58, 59]",265851.3530025482,234896.69529914856,36192434.899894334,32629417.196579468,LCM 187
286,7,6,"[60, 61]",249904.97536849976,223211.3661308289,28620726.385178823,25752746.5964149,LCM 188
287,7,7,"[62, 63]",200372.3873128891,166555.00836086273,21062808.735996224,17539835.390114885,LCM 189
288,7,8,"[36, 37, 38, 39, 40, 41]",152394.80652332306,127099.1324672699,77876745.73433049,67524025.82074307,ACL 2.31
289,7,9,"[36, 37]",269005.1536951065,240815.01774311063,32303079.046930347,29504804.36369751,LCM 190
290,7,10,"[38, 39]",243286.18042564392,215893.2114086151,34133490.95848997,30811049.573678102,LCM 191
291,7,11,"[40, 41]",320636.5544738769,283565.2296295166,34642746.59337043,31114364.29096367,LCM 192
292,7,12,"[42, 43, 44, 45, 46, 47]",153254.93335533142,115497.78349876404,96806377.60681778,77390137.19320974,ACL 2.32
293,7,13,"[42, 43]",249723.34779930115,227570.17268180847,26639969.03232993,24426950.5101762,LCM 193
294,7,14,"[44, 45]",258347.8775806427,225345.38092803955,23743094.175595306,20643228.55636678,LCM 194
295,7,15,"[46, 47]",156356.000123024,136079.13208007812,17519364.173090547,15116767.915541878,LCM 195
